doi,family,title,year,score,is_benchmark,is_oa_heuristic,has_table,has_sigma,has_ea,has_impedance
10.1039/d1nr06959d,sulfide,Enhanced ionic conductivity of a Na3Zr2Si2PO12 solid electrolyte with Na2SiO3 obtained by liquid phase sintering for solid-state Na+ batteries.,2022,7.0,True,False,,,,
10.1088/2053-1591/ab7618,sulfide,Spark plasma sintering plus heat-treatment of Ta-doped Li7La3Zr2O12 solid electrolyte and its ionic conductivity,2020,7.0,True,False,,,,
10.1016/J.JPOWSOUR.2018.06.038,sulfide,Electrochemical and interfacial behavior of all solid state batteries using Li10SnP2S12 solid electrolyte,2018,7.0,True,False,,,,
10.1039/c8ra01329b,oxide,The effect of sintering process on lithium ionic conductivity of Li6.4Al0.2La3Zr2O12 garnet produced by solid-state synthesis,2018,7.0,True,False,,,,
10.1038/s41427-024-00563-7,oxide,Tailoring the grain boundary structure and chemistry of the dendrite-free garnet solid electrolyte Li6.1Ga0.3La3Zr2O12,2024,7.0,True,False,,,,
10.1111/ijac.14184,oxide,Conductivity enhancement within garnet‐rich polymer composite electrolytes via the addition of succinonitrile,2022,7.0,True,False,,,,
10.1016/j.ceramint.2023.09.330,oxide,Enhancement in Li-ion conductivity through Co-doping of Ge and Ta in garnet Li7La3Zr2O12 solid electrolyte,2023,7.0,True,False,,,,
10.1021/acsami.1c05846,oxide,Compositional Dependence of Li-Ion Conductivity in Garnet-Rich Composite Electrolytes for All-Solid-State Lithium-Ion Batteries-Toward Understanding the Drawbacks of Ceramic-Rich Composites.,2021,7.0,True,False,,,,
10.1002/adfm.201906189,oxide,Intrinsic Lithiophilicity of Li–Garnet Electrolytes Enabling High‐Rate Lithium Cycling,2019,7.0,True,False,,,,
10.1039/c8ra01329b,garnet,The effect of sintering process on lithium ionic conductivity of Li6.4Al0.2La3Zr2O12 garnet produced by solid-state synthesis,2018,7.0,True,False,,,,
10.1142/s1793604725510786,garnet,Enhanced Ionic Conductivity of Ga/Nb Co-doped LLZO Ceramic Electrolyte via Sintering Regime Optimization,2025,7.0,True,False,,,,
10.1149/ma2024-0281120mtgabs,garnet,Strategies for Mixed Ionic-Electronic Conductivity in Co-Doped Li-Garnet Based Electrolytes,2024,7.0,True,False,,,,
10.1149/ma2022-014552mtgabs,garnet,Ta-LLZO Garnet Processed By Spark Plasma Sintering for All Solid State Batteries,2022,7.0,True,False,,,,
10.1039/d2cp03072a,garnet,A strategy of enhancing the ionic conductivity of Li7La3Zr2O12 under accurate sintering conditions.,2022,7.0,True,False,,,,
10.1016/j.matpr.2020.08.812,garnet,A correlative study on electrochemical and optical properties of LLZO (Li7La3Zr2O12) garnet electrolyte,2022,7.0,True,False,,,,
10.1007/s11581-025-06639-w,garnet,Investigation of the doping effects of Sr-Ta on the ionic conductivity of garnet Li7La3Zr2O12 solid electrolyte,2025,7.0,True,False,,,,
10.1002/ece2.24,garnet,Synthesis conditions affecting electrochemical and chemical stabilities of Ga‐doped Li7La3Zr2O12 solid electrolyte,2024,7.0,True,False,,,,
10.1016/j.ceramint.2023.09.330,garnet,Enhancement in Li-ion conductivity through Co-doping of Ge and Ta in garnet Li7La3Zr2O12 solid electrolyte,2023,7.0,True,False,,,,
10.1149/ma2024-0281177mtgabs,garnet,Effects of Metal Interlayers between Li7La3Zr2O12 Solid Electrolyte and Li Anode on Li Dissolution/Deposition Cycles,2024,7.0,True,False,,,,
10.1088/2053-1591/ab7618,garnet,Spark plasma sintering plus heat-treatment of Ta-doped Li7La3Zr2O12 solid electrolyte and its ionic conductivity,2020,7.0,True,False,,,,
10.1149/ma2024-0281226mtgabs,garnet,Reducing Interfacial Resistance between Li7La3Zr2O12 and Liquid Electrolyte through Wet Polishing for Quasi-Solid Batteries,2024,7.0,True,False,,,,
10.1007/s11664-021-09331-7,perovskite,LiF-Assisted Synthesis of Perovskite-Type Li0.35La0.55TiO3 Solid Electrolyte for Rechargeable Lithium-Metal Batteries,2021,7.0,True,False,,,,
10.1149/ma2025-023553mtgabs,perovskite,Rapid Flash-Light Sintering of Perovskite Coatings on Ni-Rich Cathodes for High-Performance All-Solid-State Batteries,2025,7.0,True,False,,,,
10.1088/2053-1591/ad2cc6,perovskite,Effect of Sr and Nb co-doped on the total conductivity of Li0.5La0.5TiO3 ceramic electrolytes,2024,7.0,True,False,,,,
10.1149/1945-7111/ac30ad,perovskite,Nitrogen-Doped Lithium Lanthanum Titanate Nanofiber-Polymer Composite Electrolytes for All-Solid-State Lithium Batteries,2021,7.0,True,False,,,,
10.1002/est2.628,nasicon,Novel yttrium and silicon co‐doped Li1.3+x+yAl0.3−xYxTi1.7Siy(P1−yO4)3 solid electrolyte for lithium batteries: Effect on ionic conductivity and crystal structure,2024,7.0,True,False,,,,
10.1149/ma2026-014589mtgabs,nasicon,"Manufacturing Multilayer Li
 1.3
 Al
 0.3
 Ti
 1.7
 (PO
 4
 )
 3
 (LATP) Thin-Film Electrolytes: Linking Pulsed Laser Deposition Processing, Stoichiometry, Crystallinity, and Ionic Conductivity",2026,7.0,True,False,,,,
10.1007/s10008-023-05729-x,nasicon,Ceramicized NASICON-based solid-state electrolytes for lithium metal batteries,2023,7.0,True,False,,,,
10.1016/j.ceramint.2021.01.004,nasicon,Influence of LiBF4 sintering aid on the microstructure and conductivity of LATP solid electrolyte,2021,7.0,True,False,,,,
10.1021/acsami.3c04230,nasicon,Synergistic Effect of Calcination and Sintering on the Reduction of Grain Boundary Resistance of LATP Solid Electrolyte.,2023,7.0,True,False,,,,
10.1016/j.jallcom.2019.153072,nasicon,Impact of Li2.9B0.9S0.1O3.1 glass additive on the structure and electrical properties of the LATP-based ceramics,2020,7.0,True,False,,,,
10.1016/j.ceramint.2019.12.229,nasicon,Enhancing the cycling stability of all-solid-state lithium-ion batteries assembled with Li1.3Al0.3Ti1.7(PO4)3 solid electrolytes prepared from precursor solutions with appropriate pH values,2020,7.0,True,False,,,,
10.1021/acs.jpclett.6c00252,nasicon,"High-Pressure, Low-Temperature Synthesis of Li1+xAlxTi2-x(PO4)3 Solid Electrolytes for High-Performance Solid-State Batteries.",2026,7.0,True,False,,,,
10.1016/J.APSUSC.2018.12.202,nasicon,Fabrication and electrochemical properties of Li1.3Al0.3Ti1.7(PO4)3 solid electrolytes by sol-gel method,2019,7.0,True,False,,,,
10.1021/acs.jpclett.6c00252,nasicon,"High-Pressure, Low-Temperature Synthesis of Li1+xAlxTi2-x(PO4)3 Solid Electrolytes for High-Performance Solid-State Batteries.",2026,7.0,True,False,,,,
10.1021/acsami.4c21057,nasicon,Defect-Induced Li-Ion Trapping and Hopping in a Grain Boundary-Engineered Li1.3Al0.3Ti1.7(PO4)3 Solid-State Electrolyte.,2025,7.0,True,False,,,,
10.1002/aenm.202300982,halide,A Structurally Flexible Halide Solid Electrolyte with High Ionic Conductivity and Air Processability,2023,7.0,True,False,,,,
10.1002/smll.202504677,halide,Dual-Anion Sodium Halide-based Solid Electrolytes With High Ionic Conductivity and High-Voltage Stability.,2025,7.0,True,False,,,,
10.1002/advs.202507224,halide,Structure and Ionic Conductivity of Halide Solid Electrolytes Based on NaAlCl4 and Na2ZnCl4,2025,7.0,True,False,,,,
10.1149/ma2026-0172849mtgabs,halide,Dual-Anion Mixed Sodium Halide Solid Electrolytes with High Ionic Conductivity and High-Voltage Stability for All-Solid-State Sodium Batteries,2026,7.0,True,False,,,,
10.1021/acsami.5c08998,halide,Revealing the Reductive Decomposition at the Interface of Li3YCl6-Lithium Metal.,2025,7.0,True,False,,,,
10.1021/jacs.1c11335,halide,Stacking Faults Assist Lithium-Ion Conduction in a Halide-Based Superionic Conductor,2022,7.0,True,False,,,,
10.1039/D1TA03042F,halide,A kinetically stable anode interface for Li3YCl6-based all-solid-state lithium batteries,2021,7.0,True,False,,,,
